title,description,stress,complexity
"Close button not working","Close button does not respond when clicked. Clicking on it too much lead to freezing of machine",medium stress,medium
"Login error","User unable to log in despite entering the correct credentials",medium stress,medium
"Database connection issue","Application fails to connect to the database intermittently",high stress,hard
"UI misalignment","Navigation bar overlaps the content on smaller screens",low stress,easy
"Memory leak","Application consumes increasing memory over time leading to crashes",very high stress,hard
"Broken link","The 'Learn More' link redirects to a 404 page",low stress,easy
"API rate limit exceeded","Backend API calls exceed the rate limit causing temporary bans",medium stress,medium
"Missing icons","Several icons on the toolbar are not displayed",low stress,easy
"Search functionality broken","Users are unable to search for items, no results are displayed",medium stress,medium
"Inconsistent fonts","Different sections of the website display different fonts",no stress,easy
"Performance lag","Application becomes slow when multiple tasks are executed simultaneously",high stress,medium
"Audio not playing","Audio files uploaded by users fail to play",medium stress,medium
"Missing documentation","API documentation is incomplete leading to developer confusion",medium stress,hard
"Data inconsistency","Mismatch in data displayed on front-end and back-end",high stress,medium
"Security vulnerability","Potential XSS vulnerability detected in the comments section",very high stress,hard
"Mobile responsiveness","Website elements do not adjust properly on mobile devices",low stress,medium
"Deprecated libraries","The project uses several outdated libraries causing compatibility issues",medium stress,hard
"Broken notifications","Users are not receiving push notifications",medium stress,medium
"Incorrect translations","Some language translations are inaccurate or missing",low stress,easy
"Server timeouts","Server often times out during heavy traffic",high stress,medium
